image,reading,eating,medical activity,studying,socializing,working,camping,gaming,hiking,conducting business,cleaning,bathing,climbing,research,touring,training,playing,farming,boating,waiting in line,praying,congregating,constructing,sunbathing,using tools,swimming,diving,digging,shopping,spectating,biking,exercise,competing,transporting,driving,sports
restaurant__143.png,0.47668163264702446,0.5865138747470982,0.252479272188445,0.30446634358106617,0.5468436550897131,0.3587439868588737,0.21496915865102362,0.3283358181978507,0.2256684484040906,0.33860157351284204,0.263547992833694,0.27081321759494853,0.2402520520222201,0.2576274046511059,0.29477959510945617,0.2951878813906463,0.2665774441733865,0.24230929722528574,0.24946152125053112,0.3728541683986368,0.25518807583191316,0.39360678616282346,0.24345689739187382,0.26507657789189215,0.2340738375442621,0.2573356099757605,0.2648034297527391,0.23541692945414988,0.35588438806465356,0.23625240511033496,0.24965826260461785,0.23410759864142275,0.2498265121526992,0.23505229286071072,0.23574888505299904,0.21288756877086457
restaurant__144.png,0.3115495618817546,0.4866962831070265,0.2697460515725359,0.2757722291446175,0.510955196869346,0.406145229685128,0.196362716373794,0.27967063524972763,0.23914443894120385,0.3247488836632687,0.25834585219371237,0.2519485142456466,0.2586773127206848,0.27289766225016404,0.2864299110720166,0.2690170647785014,0.21275911747711174,0.24711314557366376,0.23067145040941886,0.37499989039642123,0.2858409079317117,0.3993126927555927,0.2537092957627213,0.24222417614296987,0.2669592907547881,0.22245188428498153,0.23721130076899466,0.2559562423242729,0.407042065595449,0.25385769388632595,0.2409729659945226,0.21322564905317187,0.21476296494693584,0.229428854370406,0.2194431709256005,0.1966770073263261
restaurant__145.png,0.4437746736385751,0.6113805466733266,0.27853707539451933,0.3170331042321381,0.6169459430704319,0.33959775139398324,0.2557705256813273,0.2933314505009803,0.27388612963240655,0.33098064780736314,0.2845120510921767,0.2861225359079224,0.2655653147526791,0.27471243326768446,0.33524769060580506,0.3059931064814073,0.24555294537122935,0.2750746695195849,0.29672629361552094,0.3368080254706138,0.272123483057582,0.5150120190804318,0.26902207757539176,0.285775967642497,0.24268058251572827,0.2860470607716999,0.29181753166355023,0.26782611595705275,0.2929239928379966,0.3099593113426165,0.25213876297540844,0.21889080501326197,0.21516177622018884,0.23615379905650363,0.22437875330986884,0.19782784485818833
restaurant__146.png,0.4212041187054847,0.48428901017885706,0.2519155332279854,0.30472377210273843,0.479974855628797,0.3228305199690842,0.20484698245776614,0.30286757618563703,0.20833315374404818,0.30944945490854425,0.2764216858780037,0.2803867968608363,0.25682443736270527,0.27134021801403924,0.3264061572955433,0.30527617192217804,0.2622295631248948,0.22933105433602197,0.2957659623375327,0.31613185493585416,0.25276608492121283,0.41695984098000377,0.2614814081409217,0.2769836244536675,0.24617185129187305,0.29488038757009494,0.2998565352727199,0.24203112026143683,0.23149441026782464,0.3059351294161051,0.24381818016933454,0.2521592422557241,0.27509268140398796,0.29675357146423004,0.24210534045361565,0.24153556689285938
restaurant__147.png,0.4901912258097002,0.5559490454974237,0.2779347301868758,0.3390930725220882,0.5328932173976159,0.34569588031139054,0.21826718785874233,0.29206128900121586,0.22736435031877505,0.30351851690095155,0.26932947274054925,0.2648993284018818,0.2320274641482595,0.2857847009280872,0.28176567766646693,0.32961611907209154,0.23708314185283963,0.2808236165265068,0.254433394633067,0.30968701382046904,0.26508114813322303,0.4962936781303727,0.25222863612615576,0.25789781312279497,0.2483765631745914,0.2562321901428256,0.26442590718585224,0.2466810329874725,0.21736226983428927,0.2732884342183806,0.23215251013974897,0.24344802483123726,0.2413252901910788,0.21666920967808412,0.19961915355191504,0.21991791792723955
restaurant__148.png,0.4719182599902408,0.5782170527657179,0.2721201779221017,0.3495602433111418,0.5798705622447075,0.36178337274515465,0.2379337729888293,0.3116667250704645,0.25536478777214816,0.32687514525695766,0.27509999621894204,0.28597388648892974,0.2857512731951375,0.29922077469781494,0.32650681080717386,0.33193538120691085,0.24714229282598985,0.28382292749379706,0.2821377597094658,0.3221111138338332,0.29526163054597515,0.5141982059987057,0.2857720914831835,0.28304302484449495,0.2816027909491442,0.27800606966994457,0.2866123189414276,0.2859744014311793,0.25475495824989813,0.3142174058175806,0.23762989293836015,0.2377877038944041,0.2498269369370668,0.23664852495731648,0.22060488718006477,0.22633346608091356
restaurant__149.png,0.4099198896186914,0.514763073210102,0.2592451197176366,0.2768216845311402,0.5350755215079128,0.3105685037810417,0.2508534818761511,0.3037373881088939,0.2573131827338199,0.30307198940444563,0.27734528663750824,0.2864352197556056,0.24351761222346474,0.2611500725233226,0.3143357917862571,0.27085804734993657,0.24287472309478697,0.29118046031640343,0.2511935952219196,0.3087392871316634,0.27214986640528244,0.4128967102708529,0.2738179727405602,0.26967043004611835,0.2535019885746954,0.24448208841619307,0.2550770362529961,0.2685060346393019,0.2321202012195688,0.28130497103531726,0.23736584472301087,0.2193651280811974,0.230027469842985,0.2428515893365997,0.2168882002082131,0.20679157907744475
restaurant__15.png,0.38458721733626305,0.5899561047291378,0.28602985589295093,0.27497139722015945,0.5395135166133481,0.3603721781158118,0.231319036678281,0.265316797790439,0.2609507104080594,0.2975222200746079,0.2775741507040079,0.27870294955886515,0.24497002911416238,0.2807671798190367,0.3241993549668942,0.28023324603387995,0.23660105827718403,0.25765719099807577,0.2294624159856891,0.3124268270214547,0.2681278959301913,0.41492087652109466,0.2729270506581133,0.2710430811245853,0.2889855580931139,0.24162212191172336,0.25296490504028485,0.26828626042007336,0.31802371932735535,0.23795730029604856,0.24383128883570798,0.22522238539758807,0.19393006167526788,0.22261951356551585,0.21517255127207732,0.1907415165361851
restaurant__150.png,0.4295035608152282,0.6262809397897279,0.23244880462172252,0.26489899959330276,0.5562705003823539,0.24039091570489265,0.19410559838421035,0.2489393642018927,0.21224975597242754,0.26589753249462267,0.23259903913791138,0.21963362327565542,0.2256120328599002,0.21937117500816603,0.2768188859115114,0.26097665065812087,0.2193418007546594,0.22141120182012763,0.20383168713261626,0.2645704034816711,0.2323722611292635,0.48277129227654736,0.2059726115300246,0.23076024398361442,0.18791996118272325,0.19634178403062874,0.214857372004633,0.22275926186360356,0.20610024993338763,0.2718350296290448,0.1954244110139748,0.2060357838968751,0.2262163472906002,0.22216084161337454,0.17235600183010227,0.20023168245415715
restaurant__151.png,0.43346576037510104,0.5398589982200951,0.25495326481452363,0.2966249945911476,0.578867409253164,0.28231011364467856,0.23113835340744174,0.30974379310962435,0.2516559842905596,0.31488536705907266,0.27373369849086016,0.27247170664785936,0.25744471853433204,0.24775056098975246,0.31262010407949903,0.29413663782058524,0.23587575089328802,0.2703050906664728,0.2490768156994735,0.3196810541614186,0.28155573957378227,0.488427058531226,0.2565147820056337,0.2621772068425388,0.21529609715941414,0.2576245289820207,0.2640455630701861,0.25776696272898214,0.24799123822002223,0.33032077726248105,0.22879650840860824,0.2163492444478986,0.22489929375279008,0.22268911352273502,0.2087978911277719,0.19497680357145022
restaurant__152.png,0.41619890299506884,0.4473925547304736,0.23550345287848243,0.2707691489800764,0.44253193729258994,0.3103973360818272,0.2121193827220803,0.29064733400884957,0.20958795767373217,0.2903542053288022,0.27409781974599057,0.27439716831303834,0.23117481169089307,0.24979095883081298,0.28657092062217154,0.2732994645430421,0.24736749043506678,0.2458276968538275,0.24482546068667624,0.2880630939970181,0.23265577426336986,0.3790740594204829,0.25689352452701436,0.2619448226971862,0.2542482171297581,0.24375051011979262,0.2576877223800842,0.24461739556512202,0.21121366066650923,0.28991116527605687,0.23454715068542478,0.2344983626997776,0.2564146511930444,0.28433055078952213,0.22920874354013387,0.22375265395119484
restaurant__153.png,0.46605548460470597,0.5735503911709523,0.2614552053228253,0.3168642256696105,0.5559605067504507,0.3233703390090601,0.22256203084128953,0.2947931251961517,0.2309235766831342,0.3084747298574711,0.27591928338913363,0.29193136631443184,0.233331482224632,0.27484748382210217,0.32832081535535074,0.3112872110096507,0.2503005821494023,0.28598283107225264,0.2700004790558279,0.3075933915808717,0.2647826221583897,0.48073384775412165,0.2681686023542819,0.28702050173018157,0.25103952097292864,0.27719573392318336,0.27940201708692636,0.2574957476675844,0.24481937428334585,0.29419623067316436,0.23143253186681922,0.21574183397816937,0.21857634602841436,0.24042038243591107,0.2120641558828104,0.19413157653421234
restaurant__154.png,0.42667304001263034,0.5062668379492125,0.26449079063031167,0.2612763699848271,0.4586773038667593,0.29075837895933465,0.23405365920642376,0.2743928075887783,0.26174451370409413,0.3009460925015667,0.2666175745260559,0.28093353014968886,0.25597954893264,0.2503353855299391,0.31403787317018395,0.24604418313008006,0.24282971855276517,0.26469834429853106,0.2317551967565943,0.29814956359581307,0.25425802630508376,0.3446931299908684,0.24712940074394055,0.2704407602674873,0.22102858347475174,0.2478236970606704,0.2596191347223675,0.24869577253213188,0.30970155764260804,0.2335194045884516,0.2339675630397822,0.21048376074712233,0.19876510073631415,0.19687548786941653,0.20548783487327701,0.1875236518190281
restaurant__155.png,0.5684103933484861,0.5353193537789972,0.25648068947002384,0.3403518191657186,0.4865134923128029,0.2778544556612112,0.2613902242547807,0.2921496616601322,0.24777778778489185,0.29696576589446194,0.2769638540704804,0.30353172886256974,0.2707269434537874,0.2714394312412721,0.33914875333132083,0.3242490815507135,0.2754970108080539,0.25672830917163925,0.37891940109177424,0.2760528021932961,0.24728777500636107,0.4751995412145983,0.26452643214117455,0.33725723935256036,0.23775489230817992,0.3560387189649922,0.3443372614059719,0.2587181978561955,0.1940924433491282,0.30054316937066977,0.23447806086707149,0.23830464724537248,0.2520771937832843,0.24950148629751437,0.2169402472247665,0.220653791128477
restaurant__156.png,0.3890002587889305,0.4875117970859191,0.2532908966950992,0.2903276307371298,0.5361421917526513,0.3042085266904255,0.19668544111033404,0.301541565984699,0.22118179305689262,0.30783334743723867,0.25945987473673804,0.2702319328305715,0.2671831337101067,0.2621287128158363,0.3434512918164555,0.29659944390693954,0.2427521953358274,0.2557868111581647,0.2367367322765479,0.31444641679281915,0.33635028992879895,0.4891231983401939,0.26030138578333645,0.26561059853060415,0.24639666543978825,0.24186350005202883,0.25540215073567,0.256805834081704,0.23763696732132508,0.3185315635972986,0.22457142354426676,0.2319498672517971,0.2506621642905856,0.2172394146302067,0.20570474758763485,0.2215009567897669
restaurant__157.png,0.4188781408658493,0.5573806700635721,0.25646393275444923,0.2824829419822187,0.5316776822085186,0.3032493111565238,0.21653050100282203,0.28535020992193194,0.24232511491564313,0.30506306744893685,0.27416222274490976,0.2616999321544514,0.24706820595161286,0.24975415301529638,0.32242005154564934,0.2838225630799537,0.23138402623929608,0.2495055782576315,0.28637424837258896,0.34072441184442254,0.27016593802571875,0.41440778647740745,0.24815045157352328,0.25973479308019043,0.2241773716938298,0.27325364637385713,0.2726363170825715,0.24973809984098774,0.28391019985485577,0.2586348151058031,0.24842539431157978,0.2250585101023544,0.22128440668729346,0.26029098389617433,0.2337189035341151,0.20165731743963833
