image,mean_h,mean_s,mean_b,std_h,std_s,std_b,fourier_slope,fourier_sigma,first_order_ed,second_order_ed,edge_density,entropy,fractal_D
bedroom__107.png,0.11550202450570543,0.5808290155499684,0.6192435151143793,0.09694050871115496,0.19389912639632467,0.26379957890675326,-2.799922127974823,0.01049293758931287,4.26413283308856,4.400339602226546,258.98226408506866,7.529660607004557,1.7827773871164605
bedroom__108.png,0.2704035263945739,0.18787347214967387,0.5697110396241831,0.26501698440102806,0.13228554877878024,0.1951043627643329,-2.907993648935566,0.012911546182663138,3.765814914351413,4.095020738238653,227.02922715247652,7.524861893348434,1.8014054471689545
bedroom__109.png,0.23926454479102144,0.1639908382038057,0.4576482460171568,0.24807686775092155,0.14564573602085226,0.1979313710886379,-2.6064080045301994,0.0062996558435136915,4.145956193102981,4.271888073209277,211.77380414431832,7.486088545255573,1.7926948698680547
bedroom__11.png,0.1084450786072065,0.4576779861927222,0.48419685712826793,0.2271459935092364,0.2449158281890872,0.2757168350001265,-2.5930009518601174,0.01788013267329046,3.7780637777673753,4.1329243399811455,417.774885496836,7.815424135048315,1.7290116204592465
bedroom__110.png,0.31646366226759925,0.07227066441680999,0.6914655841503268,0.27857446264347,0.06107144196757925,0.11926086982559114,-2.3484331200391413,0.004780240495421199,4.3849752285348895,4.479205813663504,150.6093718187644,6.892625912176039,1.9222663238558535
bedroom__111.png,0.4727582865526095,0.1295035624022301,0.5848763786764707,0.2609147267471622,0.10730794026049541,0.1698491974847488,-2.316785664288958,0.020891820446687248,4.14459565777347,4.380342972106043,282.7076848262805,7.122293643165359,1.8693765680290741
bedroom__112.png,0.25428878753737955,0.13112491088579709,0.49609571589052287,0.29392616016578244,0.14461130516303458,0.1928677906000488,-2.738799176700827,0.009729076414516421,3.9790541966630766,4.176851226854349,200.69873511207373,6.957474998695556,1.7792664644886869
bedroom__113.png,0.1918941971375635,0.13794309656601014,0.5326285615808822,0.19900095342979976,0.10601821874460933,0.25898552184902035,-2.7927387585965397,0.004902390580983814,4.131074955661083,4.242231072466779,259.3834848677112,7.671570287138798,1.8004504619052433
bedroom__114.png,0.2821132719347052,0.23357382398444596,0.6429194495506535,0.17160450893355356,0.2652573981121137,0.14926344523369392,-2.740118078617791,0.009691328285530775,3.8693257925079747,4.172341858899819,219.67224559057945,7.138918682362763,1.8830075001780986
bedroom__115.png,0.24237990589683533,0.23521698800005614,0.583037313623366,0.2509022447662589,0.22842538471172188,0.17203016702887325,-2.945347420871504,0.004913121793051916,4.029206313910517,4.212594556288607,301.99028772816513,7.42810459451074,1.8115081208389978
