image,enclosed area,no horizon,far-away horizon,open area,semi-enclosed area
bedroom__234.png,0.7557468397410213,0.743215604138969,0.20056518973032558,0.23187553388512666,0.2658483634400249
bedroom__235.png,0.7302086290323025,0.7411741232476728,0.21287028887625645,0.2258895757104566,0.24769769494538485
bedroom__236.png,0.779879904995351,0.7356957508311526,0.25554763877075554,0.1870109271367547,0.25387590483804684
bedroom__237.png,0.755283721913979,0.7685866039035885,0.18782705204803077,0.2332538130346262,0.236648382919958
bedroom__238.png,0.6609715970308565,0.6729899892896074,0.263958396718558,0.3123547529061316,0.23370316982436204
bedroom__239.png,0.7911004597826167,0.7542293971042766,0.21112140861987153,0.22046062024574395,0.22486933740372547
bedroom__24.png,0.7231392296022924,0.7016203033408509,0.25590535748898524,0.2736162999814042,0.29583472117782184
bedroom__240.png,0.6945994230694055,0.6609249010404817,0.2804901716694317,0.2829748969183925,0.28222405443625614
bedroom__241.png,0.6942520524273452,0.7300629132888543,0.22954353448579976,0.27504542324030323,0.2935290909492873
bedroom__242.png,0.7880791374319142,0.716914512446811,0.251237853843794,0.24829910167663843,0.2342045327312302
bedroom__243.png,0.7835275383022817,0.7182678461574855,0.22731062761712967,0.2463220081135634,0.2077759865214337
bedroom__244.png,0.7704838892662006,0.7041068109188358,0.2435327389137238,0.28587095664548867,0.25737826773921396
bedroom__245.png,0.7348329102217522,0.7368250487569126,0.24467338271464953,0.27563426065296703,0.2598635981636688
bedroom__246.png,0.6648830789230039,0.696037711272641,0.21115535178228692,0.29320085145568164,0.28069010081864126
bedroom__247.png,0.7641624123359938,0.7129457356114266,0.24340621332419712,0.2247369332557338,0.28503957785453393
bedroom__248.png,0.7457074856886018,0.7823540098795657,0.19593521729571717,0.21998191830566227,0.24497034445499571
bedroom__249.png,0.6867101137241953,0.7069543778976499,0.23900485290503917,0.3008807254310113,0.2934140297772106
bedroom__25.png,0.7816243816399578,0.7219186145282207,0.216506134421424,0.21498640544426975,0.24959688509981545
bedroom__250.png,0.8046486196101111,0.7165378556693507,0.23895833211350206,0.24483802170100488,0.22989671802279946
bedroom__251.png,0.7549916939908964,0.7052648750735273,0.24270741537694512,0.2286971961102947,0.25565966320798417
bedroom__252.png,0.7578867651791069,0.6808077508963886,0.2590635725058763,0.29587443740155167,0.23564216481877234
bedroom__253.png,0.7458035060083683,0.6897232483749297,0.2595455731589759,0.2559796718824311,0.25266815713388435
bedroom__254.png,0.7306316484852159,0.7157024611207229,0.18988514595093714,0.2574815844678244,0.19487130322562743
bedroom__255.png,0.680093248795062,0.6884297739857922,0.2502828767260882,0.3115020647596012,0.2807747842005732
bedroom__256.png,0.743048538056272,0.696182229612674,0.24352864961164372,0.23444776806712075,0.28481181942886147
bedroom__257.png,0.7684196963269734,0.713780540611212,0.23564763452098672,0.22913935633872742,0.2523514158666434
bedroom__258.png,0.7211331330316628,0.6616903436999629,0.2760192948381777,0.31224018641019224,0.24306812349639123
bedroom__259.png,0.7805704736482753,0.6488474062289753,0.2818048308788959,0.29888417704690984,0.26108984003107855
