image,curvature1,orientation1,length1,curvature2,orientation2,length2,curvature3,orientation3,length3,curvature4,orientation4,length4,curvature5,orientation5,length5,curvature6,orientation6,length6,curvature7,orientation7,length7,curvature8,orientation8,length8
bedroom__107.png,4309.33957785544,1251.88733206532,208.179271138884,1459.59311007797,1781.47793747482,786.535387035869,1500.09085522629,521.569162418433,1547.97376997471,1568.9017338331,724.214158135417,4542.44675538214,839.241366378988,2115.57417735558,2914.8648164684,322.833356628213,1185.73890638924,0,0,1250.56841297136,0,0,1168.96991318984,0
bedroom__108.png,3634.43035347467,2164.20377703275,69.8015003191003,2726.09437894435,992.763019455421,201.080529554812,1668.62884900726,328.838158445737,1402.65003591991,1017.49592645371,553.226441003407,1971.45058177003,809.976470708353,3247.31554013128,2474.14458367763,143.374021411661,344.245617196722,470.434740149059,0,370.226941116444,1669.97797388416,0,1999.18050561824,1740.46005472531
bedroom__109.png,4036.96059093314,1508.13448317098,118.01426402476,2406.23104223571,954.877668416122,242.501393982521,1552.1724754655,307.238017855148,1188.06216924026,1155.81349657389,380.796405410088,2407.16782826003,636.609609676345,4875.51777886909,3409.93549834394,212.21278511541,702.457911565786,2634.31884614848,0,394.341228433397,0,0,876.636506279391,0
bedroom__11.png,5100.33921540627,3020.05015411213,131.804438875146,1829.96965946783,494.744180471416,281.658366978404,939.735378248776,346.571862152544,1293.30777380879,1331.58578860837,426.988207720831,2005.08400863721,566.046172848888,3665.44489890606,2978.46857837976,177.997885667593,873.521158573121,2483.24856139869,54.3258997522789,336.346039224925,826.42827192199,0,836.333498838968,0
bedroom__110.png,3612.36052715533,1179.34521165813,83.0043618883553,1406.87718981912,1941.30965194042,433.342997857915,2469.34553384991,591.227411911667,1855.79647819,1166.78659069435,919.881540782955,2077.64659460375,1101.63048942422,2853.315098595,3218.55578528623,242.999669057073,895.46305159962,0,0,614.197274270596,2331.65378217376,0,1005.26075924162,0
bedroom__111.png,4659.63567712557,2093.00117464782,233.882022102723,1869.27824433075,1829.8820533353,404.970834453201,1883.49828363771,239.825594706404,1784.99374021117,923.036979133007,552.199950651855,1788.2941742351,463.073835175545,3492.28708307186,2643.74889441372,201.476980597415,439.020973465875,1406.91752546067,0,259.939604423498,1737.19280912341,0,1093.84356569739,0
bedroom__112.png,3298.76352841393,1055.76753106186,176.492012930177,2604.13472624499,1575.18990509039,312.796535383213,1696.57042269435,666.833359707314,919.434783127973,1168.35226957282,228.866545589228,1863.99174935617,991.44116945856,3715.69293959781,2794.68397051674,240.737883615356,585.188704262484,3932.60094868573,0,791.346935294159,0,0,1381.11407939676,0
bedroom__113.png,3844.47353238588,1567.53607725136,118.896839742761,2348.8722842944,1394.29884511633,387.708805878815,1747.83749559758,691.329792857992,1298.53206931913,1383.30874536806,540.719172782695,2805.18725238892,499.963340744358,3890.47979685797,3677.04387098591,153.169547975905,535.928593211812,1712.63116168446,22.3750536338234,577.300228250124,0,0,802.407493671714,0
bedroom__114.png,5036.2997523194,946.535171742966,79.699261051906,1480.4340135842,1363.0584908642,426.166597529519,1461.42056557807,343.357810877738,1025.95862026877,1235.77493181575,667.325508066243,2566.18640864588,608.254585459093,4317.67870641159,1842.96482070639,164.879073375685,693.170753674012,782.938950698717,12.9370778678099,378.882831649369,2212.74015069438,0,1289.99072671388,1063.34519040443
bedroom__115.png,5435.19435259839,971.898997444774,180.6190837246,1574.01970812387,1287.77979964018,755.605034747035,1655.32163090328,253.45254249892,1129.54114228187,827.444415388235,685.042667525034,3274.83132467881,379.471555214324,3880.53794002,1641.72779966713,128.548337771901,429.315538894707,1161.47459045754,0,381.14565592625,1856.20102444301,0,2110.82685805013,0
bedroom__116.png,4011.32863921623,1111.3007772317,60.9586861107101,1957.08886241488,856.134803020504,310.225210975628,1636.15274836125,413.060984193946,864.445445403978,1364.63569729166,610.509210721496,2001.9675081756,676.809661205707,4867.69017834426,3296.48964375906,292.708603682251,791.833136250151,2813.71909639794,61.2757878280187,443.698568528236,652.194409177091,0,905.772341709708,0
bedroom__117.png,4998.41427397716,1155.10288739892,94.1100192442728,2664.78513762626,800.090935547037,470.25640633612,990.962159546488,612.865798166158,1499.48341631062,793.479800645545,513.393056858621,1840.76499670771,431.699582360255,4334.05904350396,1156.27818449218,87.0295514039684,539.094717020716,2353.45937902214,33.629494440324,518.05280955183,2585.64759788696,0,1527.34075195275,0
